14:06:23 INF cmd/nasd/main.go:297 > loading config file path=/home/seanbao/.config/mnemonas/config.toml
14:06:23 INF cmd/nasd/main.go:79 > starting MnemoNAS address=0.0.0.0:8080 data_dir=/home/seanbao/.mnemonas/data version=dev
14:06:23 WRN cmd/nasd/main.go:87 > ⚠️  WebDAV authentication is DISABLED - WebDAV access is unprotected!
14:06:23 WRN cmd/nasd/main.go:88 >    Set [webdav].auth_type = "basic" to enable WebDAV authentication
14:06:23 WRN cmd/nasd/main.go:91 > ⚠️  TLS/HTTPS is DISABLED - data transmitted in plain text!
14:06:23 WRN cmd/nasd/main.go:92 >    Set [server.tls].enabled = true for secure connections
14:42:37 INF internal/api/server.go:1211 > request bytes=41 duration=0.06911 method=GET path=/api/v1/ui/config remote=127.0.0.1:36148 status=401
14:42:37 INF internal/api/server.go:1211 > request bytes=41 duration=0.046781 method=GET path=/api/v1/ui/config remote=127.0.0.1:36154 status=401
14:42:41 INF internal/api/server.go:1211 > request bytes=86 duration=46.850127 method=POST path=/api/v1/auth/login remote=127.0.0.1:36160 status=401
14:50:28 INF internal/api/server.go:1211 > request bytes=41 duration=5.916369 method=GET path=/api/v1/ui/config remote=127.0.0.1:45674 status=401
14:50:28 INF internal/api/server.go:1211 > request bytes=41 duration=0.042373 method=GET path=/api/v1/ui/config remote=127.0.0.1:45690 status=401
14:53:36 INF internal/api/server.go:1211 > request bytes=41 duration=0.071768 method=GET path=/api/v1/ui/config remote=127.0.0.1:36940 status=401
14:53:36 INF internal/api/server.go:1211 > request bytes=41 duration=0.0411 method=GET path=/api/v1/ui/config remote=127.0.0.1:36952 status=401
14:53:36 INF internal/api/server.go:1211 > request bytes=41 duration=0.061711 method=GET path=/api/v1/ui/config remote=127.0.0.1:51010 status=401
14:53:36 INF internal/api/server.go:1211 > request bytes=41 duration=0.03292 method=GET path=/api/v1/ui/config remote=127.0.0.1:51012 status=401
14:53:39 INF internal/api/server.go:1211 > request bytes=86 duration=47.778058 method=POST path=/api/v1/auth/login remote=127.0.0.1:51018 status=401
14:53:43 INF internal/api/server.go:1211 > request bytes=86 duration=48.903142 method=POST path=/api/v1/auth/login remote=127.0.0.1:51024 status=401
14:53:45 INF internal/api/server.go:1211 > request bytes=86 duration=45.858668 method=POST path=/api/v1/auth/login remote=127.0.0.1:51040 status=401
14:53:45 INF internal/api/server.go:1211 > request bytes=86 duration=46.125384 method=POST path=/api/v1/auth/login remote=127.0.0.1:51046 status=401
14:55:21 INF internal/api/server.go:1211 > request bytes=86 duration=51.794351 method=POST path=/api/v1/auth/login remote=[::1]:49590 status=401
14:56:07 INF internal/api/server.go:1211 > request bytes=41 duration=0.033305 method=GET path=/api/v1/health remote=[::1]:49270 status=401
